name,method,seed,threshold,micro_f1,macro_f1_present,best_threshold,best_micro_f1,best_macro_f1_present,macro_ap,macro_auroc
centralized_s0,centralized,0,0.5,0.6864738076622361,0.2273008286037904,0.2,0.6263879817112998,0.24396612169069462,0.2866425736569786,0.8138529595005327
local_only_s0,local_only,0,,0.5558976049378103,0.1580139761868611,,0.5421831710538003,0.16562830806096385,,
fedavg_s0,fedavg,0,0.5,0.6310344827586207,0.22587229042881202,0.65,0.6646130150173277,0.2391338656116866,0.26785098192248313,0.8015700755989219
fedprox_s0,fedprox,0,0.5,0.5371853546910755,0.15863581542575259,0.7,0.6242818843355037,0.17301609706040783,0.2034014474365821,0.7683366794593663
robust_fedprox_s0,robust_fedprox,0,0.5,0.5303073829359379,0.15626794160610666,0.75,0.6290877796901894,0.16956546012144955,0.19315946241548487,0.7684685994488747
centralized_s1,centralized,1,0.5,0.6633522727272727,0.24577349095346612,0.5,0.6633522727272727,0.24577349095346612,0.27642807579479517,0.8158955187686436
local_only_s1,local_only,1,,0.5580503255935001,0.15808693661651063,,0.5913991275128345,0.16446298046605834,,
fedavg_s1,fedavg,1,0.5,0.6262833675564682,0.2183070945717731,0.65,0.6548808608762491,0.22400780518045535,0.2753975330029293,0.7846671150079465
fedprox_s1,fedprox,1,0.5,0.5337226277372262,0.16388229339700153,0.7,0.6144674085850557,0.1677481244264179,0.19582058338304548,0.7580638626139695
robust_fedprox_s1,robust_fedprox,1,0.5,0.55196017423771,0.16243621077543996,0.65,0.6242038216560509,0.1714420115560769,0.19457153413032147,0.7484273055315824
centralized_s2,centralized,2,0.5,0.66953125,0.22131631517645528,0.4,0.668149796069707,0.24197772651855046,0.2853917668276572,0.809204333622767
local_only_s2,local_only,2,,0.5410397657208627,0.1535987508608747,,0.5675941737102281,0.15686428597551166,,
fedavg_s2,fedavg,2,0.5,0.6270491803278688,0.24850774886300311,0.8,0.6832678025338575,0.25623884299408783,0.2972378031187928,0.8339232548055275
fedprox_s2,fedprox,2,0.5,0.5368016553355011,0.1650903330936911,0.7,0.6141669964384646,0.18131103030243023,0.1993075884145891,0.7690926228110248
robust_fedprox_s2,robust_fedprox,2,0.5,0.5505896958410925,0.16568639675352997,0.65,0.6095917558462148,0.17587916958480881,0.19758975433541567,0.7652117125205328
ablate_fedavg_noise02,fedavg,0,0.5,0.5975133214920071,0.2244091919886067,0.75,0.5472779369627507,0.2323570085571271,0.26140146512998397,0.7906485185430822
ablate_fedavg_noise04,fedavg,0,0.5,0.589904046725073,0.1963556858063939,0.3,0.5950248756218905,0.20387610559404182,0.23244550129359923,0.7753817834445509
ablate_robust_noise02,robust_fedprox,0,0.5,0.5254452926208651,0.16128682221568333,0.6,0.5447500968616815,0.16296821247274468,0.17542234264036585,0.755033381218143
ablate_robust_noise04,robust_fedprox,0,0.5,0.5265210608424337,0.15520671216037188,0.5,0.5265210608424337,0.15520671216037188,0.17544030193156185,0.7464388093741803
ablate_fedavg_dir_a0p1,fedavg,0,0.5,0.6798652064026959,0.22367602518495594,0.25,0.6773688332028192,0.2353921155059072,0.2608529645385422,0.8082457140636631
ablate_fedprox_dir_a0p1,fedprox,0,0.5,0.548103186646434,0.17337280183751866,0.45,0.5309278350515464,0.17455941732079638,0.20602046259132062,0.7678561913073725
ablate_robust_dir_a0p1,robust_fedprox,0,0.5,0.5446507515473032,0.17146093462140283,0.35,0.48723559445660103,0.1751462565674015,0.20419249957030622,0.7697836861510426
ablate_fedavg_dir_a0p5,fedavg,0,0.5,0.7073791348600509,0.24270940686309556,0.45,0.7080383173677635,0.24807573392030827,0.2815839932597394,0.812194035137775
ablate_fedprox_dir_a0p5,fedprox,0,0.5,0.553668890236507,0.17884324665069395,0.55,0.566677326511033,0.179134853212522,0.20944176158422917,0.77786057806587
ablate_robust_dir_a0p5,robust_fedprox,0,0.5,0.5587144622991347,0.17295027210000638,0.55,0.5742315238718116,0.17491589707138147,0.20382936517504158,0.7791564961238857
ablate_robust_rank4,robust_fedprox,0,0.5,0.5548628428927681,0.16548095179109112,0.65,0.5950019833399445,0.18121509193250282,0.1982260737231489,0.759396009628579
ablate_robust_rank16,robust_fedprox,0,0.5,0.5154045493809387,0.1537742706370613,0.65,0.581446311176041,0.16879427882639483,0.19065165083103947,0.7588840908288156
ablate_fedprox_mu0p01,fedprox,0,0.5,0.5943877551020408,0.20388749851666757,0.75,0.6647326978864484,0.2207575005004323,0.24771452602387228,0.8087473899938754
ablate_fedprox_mu0p1,fedprox,0,0.5,0.5230337078651686,0.1509209789903006,0.65,0.5971119133574008,0.16760614401338697,0.18420236104700033,0.7458377987519682
